n@fib(10) : 140722662841576
n@fib(9) : 140722662841512
n@fib(8) : 140722662841448
n@fib(7) : 140722662841384
n@fib(6) : 140722662841320
n@fib(5) : 140722662841256
n@fib(4) : 140722662841192
n@fib(3) : 140722662841128
n@fib(2) : 140722662841064
n@fib(1) : 140722662841000
n@fib(0) : 140722662841000
x@fib(2) : 140722662841080
y@fib(2) : 140722662841088
n@fib(1) : 140722662841064
x@fib(3) : 140722662841144
y@fib(3) : 140722662841152
n@fib(2) : 140722662841128
n@fib(1) : 140722662841064
n@fib(0) : 140722662841064
x@fib(2) : 140722662841144
y@fib(2) : 140722662841152
x@fib(4) : 140722662841208
y@fib(4) : 140722662841216
n@fib(3) : 140722662841192
n@fib(2) : 140722662841128
n@fib(1) : 140722662841064
n@fib(0) : 140722662841064
x@fib(2) : 140722662841144
y@fib(2) : 140722662841152
n@fib(1) : 140722662841128
x@fib(3) : 140722662841208
y@fib(3) : 140722662841216
x@fib(5) : 140722662841272
y@fib(5) : 140722662841280
n@fib(4) : 140722662841256
n@fib(3) : 140722662841192
n@fib(2) : 140722662841128
n@fib(1) : 140722662841064
n@fib(0) : 140722662841064
x@fib(2) : 140722662841144
y@fib(2) : 140722662841152
n@fib(1) : 140722662841128
x@fib(3) : 140722662841208
y@fib(3) : 140722662841216
n@fib(2) : 140722662841192
n@fib(1) : 140722662841128
n@fib(0) : 140722662841128
x@fib(2) : 140722662841208
y@fib(2) : 140722662841216
x@fib(4) : 140722662841272
y@fib(4) : 140722662841280
x@fib(6) : 140722662841336
y@fib(6) : 140722662841344
n@fib(5) : 140722662841320
n@fib(4) : 140722662841256
n@fib(3) : 140722662841192
n@fib(2) : 140722662841128
n@fib(1) : 140722662841064
n@fib(0) : 140722662841064
x@fib(2) : 140722662841144
y@fib(2) : 140722662841152
n@fib(1) : 140722662841128
x@fib(3) : 140722662841208
y@fib(3) : 140722662841216
n@fib(2) : 140722662841192
n@fib(1) : 140722662841128
n@fib(0) : 140722662841128
x@fib(2) : 140722662841208
y@fib(2) : 140722662841216
x@fib(4) : 140722662841272
y@fib(4) : 140722662841280
n@fib(3) : 140722662841256
